Restaurant Name,Chain Name,Category,Item Name,Price,Description,Is Sold Out,Address,City,Latitude,Longitude,Rating,Review Count,Cuisines,Minimum Order,Opening Hours,Closing Hours,Restaurant Image,Item Image,Web Link
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Kebab, Grill & BBQ",Mutton Kolija Bhuna,210,"1:1 - Prepared with mutton  liver, chili, onion & spice
",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581819.jpg?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Paratha, Naan & Roti",Tandoori Roti,20,"1 pc - Flatbread, prepared with whole wheat & traditionally cooked in tandoor, prepared with whole wheat flour, all purpose flour, baking soda & sugar",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581810.jpg?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Paratha, Naan & Roti",Plain Paratha,20,"1 pc - Paratha are unleavened layered flatbreads made with whole wheat flour, egg, milk, salt, water & ghee or oil",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581811.jpg?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Paratha, Naan & Roti",Plain Naan,29,"1 pc - Round flatbread prepared from stoneground whole wheat flour & water, combined into a dough
",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6641837.jpg?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Paratha, Naan & Roti",Butter Naan,45,"1 pc - Prepared with yogurt, milk, egg & butter",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6567326.jpg?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Khichuri,Biryani, Kacchi & Tehari",Jafrani Plain Polao,99,"1:1 - Aromatic rice, garam masala, milk powder, red onion, gee, jafran & other spices
",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581837.jpg?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Khichuri,Biryani, Kacchi & Tehari",Jafrani Morog Polao with Jorda,245,"1:1 - Aromatic rice, chicken roast, mawa, garam masala, milk powder, red onion & gee, jafran",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581856.JPG?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Khichuri,Biryani, Kacchi & Tehari",Chicken Khichuri with Jorda,245,1:1 - Delicious flavorful rice & lentils served with succulent chicken,False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581861.JPG?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Khichuri,Biryani, Kacchi & Tehari",Beef Khichuri with Jorda,289,1:1 - Delicious flavorful rice & lentils served with succulent beef,False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581863.JPG?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Beef, Chicken & Mutton Curry",Chicken Roast,175,1:1 - Traditional chicken roast with mixed spices & yogurt,False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581855.jpg?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Beef, Chicken & Mutton Curry",Beef Rezala,289,1:1 - Classic beef rezala prepared with a secret spice mix,False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581866.JPG?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Beef, Chicken & Mutton Curry",Mezbani Beef,389,"1:1 - Mezbani mangsho, a spicy & lip smacking delicacy from chittagong. Traditionally made from beef",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581865.jpg?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Beef, Chicken & Mutton Curry",Beef Nehari,185,"1:1 - Nihari is originally made of beef shank and bone marrow. It is made for long hours or preferably overnight to get its real flavor
",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581827.JPG?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Beef, Chicken & Mutton Curry",Special Beef Nehari,329,"1:1 - Nihari is a rich, slow-cooked meat stew flavored with spices. This Nihari is best made with beef shin shank & bone marrow
",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581829.jpg?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Beef, Chicken & Mutton Curry",Mutton Paya,185,"1:1 - Mutton paya is a rich, slow-cooked mutton nihari  flavored with spices & bone marrow",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581826.jpg?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,"Beef, Chicken & Mutton Curry",Booter Dal,45,"1:1 - It is containing high protein, low fat &  curbs with fantastic taste. Booter dal is also known as chana dal 
",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581824.JPG?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,Bhorta & Bhaji,Bhaji,45,"1:1 - Bangladesi traditional morning breakfast vegetable
",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6581823.jpg?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,Bhorta & Bhaji,Dal Bhaji,45,"1:1 - Bangladesi traditional morning breakfast vegetable & dal
",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6641826.JPG?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,Dessert,Jorda Polao,30," 1:1 - Delicious sweet dish made of rice & topped with sweets raisin
",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/6567333.jpg?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
Al Kareem Restaurant - Notun Bazar,Al Kareem Restaurant,Dessert,Firni,69,"1:1 - Delicious bengali dessert prepared with aromatic rice, sugar & milk",False,"Natun Bazar 100 Feet, Madani avenue, Baridhara, House: 9132, (Beside SHWAPNO)Dhaka 1212",Dhaka,23.7982921,90.4260231,4.5,1860,"Asian, Snacks, Bangladeshi, Curry",50,06:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/eq4i-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/7787606.jpg?width=400,https://www.foodpanda.com.bd/restaurant/eq4i/al-kareem-restaurant-notun-bazar
