Restaurant Name,Chain Name,Category,Item Name,Price,Description,Is Sold Out,Address,City,Latitude,Longitude,Rating,Review Count,Cuisines,Minimum Order,Opening Hours,Closing Hours,Restaurant Image,Item Image,Web Link
Almajlis Arabian Restaurant,,Tagine & Eqdah,Beef Eqdah,950,"1:2 - Traditional yemeni dish of beef, vegetables & spices, all fried together",False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9001662.jpg?width=400,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
Almajlis Arabian Restaurant,,Tagine & Eqdah,Mutton Eqdah,1500,"1:2 - Traditional yemeni dish of mutton, vegetables & spices, all fried together",False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9001666.jpg?width=400,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
Almajlis Arabian Restaurant,,Tagine & Eqdah,Chicken Eqdah,650,"1:2 - Traditional yemeni dish of chicken, vegetables & spices, all fried together",False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9001671.jpg?width=400,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
Almajlis Arabian Restaurant,,Tagine & Eqdah,Beef Fahsa,950,"1:3 - A yemeni stew made with beef, cooked in yemeni harada",False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9001675.jpg?width=400,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
Almajlis Arabian Restaurant,,Tagine & Eqdah,Mutton Fahsa,1500,"1:3 - A yemeni stew made with mutton, cooked in yemeni harada",False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
Almajlis Arabian Restaurant,,Tagine & Eqdah,Mixed Vegetable,400,"1:3 - Prepared with various seasonal vegetable cooked together, offering a colorful & nutritious medley of flavors & textures",False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9001680.jpg?width=400,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
Almajlis Arabian Restaurant,,Tagine & Eqdah,Beans With Sauce,400,1:2 - Fava beans cooked in a rich tomato-based sauce with herbs and spices,False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9064391.jpg?width=400,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
Almajlis Arabian Restaurant,,Salad,Hummus,400,"1:3 - Smooth blend of chickpeas, tahini, garlic, lemon juice, and olive oil",False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9064360.jpg?width=400,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
Almajlis Arabian Restaurant,,Salad,Yogurt With Cucumber,300,"1:2 - Creamy yogurt mixed with cucumber, mint, and a touch of garlic",False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9064361.jpg?width=400,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
Almajlis Arabian Restaurant,,Salad,Mutabbal,400,"1:3 - Roasted eggplant purée with tahini, yogurt, garlic, and lemon juice",False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9064362.jpg?width=400,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
Almajlis Arabian Restaurant,,Salad,Baba Ganouj,400,"1:3 - Grilled eggplant blended with tahini, olive oil, lemon, and spices",False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9064363.jpg?width=400,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
Almajlis Arabian Restaurant,,Salad,Green Salad,300,"1:3 - Sliced cucumber, carrot, and green pepper with light dressing",False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9064364.jpg?width=400,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
Almajlis Arabian Restaurant,,Salad,Fattoush,400,"1:3 - Fresh lettuce, tomato, cucumber, radish, and crispy bread tossed in a tangy lemon-sumac dressing",False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9064366.jpg?width=400,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
Almajlis Arabian Restaurant,,Salad,Al Majlis Mix Platter,999,"1:3 - Consists of hummus, baba ganouj, mutabbal, green salad, coleslaw & yogurt with cucumber",False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9064367.jpg?width=400,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
Almajlis Arabian Restaurant,,Salad,Fries,250,"1:1 - Crispy golden potato fries, lightly seasoned",False,"House - 27, Faisal Tower, 2nd floor, North C/A, Road - 52, Gulshan - 2",Dhaka,23.79521092,90.41307597,4.9,170,"Meat, Middle Eastern, Rice Dishes",50,09:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/qovf-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9064368.jpg?width=400,https://www.foodpanda.com.bd/restaurant/qovf/almajlis-arabian-restaurant
