Restaurant Name,Chain Name,Category,Item Name,Price,Description,Is Sold Out,Address,City,Latitude,Longitude,Rating,Review Count,Cuisines,Minimum Order,Opening Hours,Closing Hours,Restaurant Image,Item Image,Web Link
Best Fried Chicken (BFC) - Banani,Best Fried Chicken (BFC),Exclusive Deals,Hot Wings - 8 pcs,250,8 pcs - Spicy hot wings packed with flavor,False,"House # 25, Block # H, Road # 11, Banani",Dhaka,23.7902239,90.4079926,4.9,18122,"Burgers, Fast Food, Meat, Chicken, Western, Fried Chicken",50,10:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/u6ys-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/8816359.jpg?width=400,https://www.foodpanda.com.bd/restaurant/u6ys/best-fried-chicken-bfc-banani
Best Fried Chicken (BFC) - Banani,Best Fried Chicken (BFC),Exclusive Deals,Hot Wings - 24 pcs,725,24 pcs - Spicy hot wings packed with flavour,False,"House # 25, Block # H, Road # 11, Banani",Dhaka,23.7902239,90.4079926,4.9,18122,"Burgers, Fast Food, Meat, Chicken, Western, Fried Chicken",50,10:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/u6ys-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/8816360.jpg?width=400,https://www.foodpanda.com.bd/restaurant/u6ys/best-fried-chicken-bfc-banani
Best Fried Chicken (BFC) - Banani,Best Fried Chicken (BFC),Exclusive Deals,Naga Wings - 24 pcs	,780,24 pcs - Spicy & crispy fried chicken wings coated in a flavorful blend of Naga chili paste,False,"House # 25, Block # H, Road # 11, Banani",Dhaka,23.7902239,90.4079926,4.9,18122,"Burgers, Fast Food, Meat, Chicken, Western, Fried Chicken",50,10:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/u6ys-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/8816361.jpg?width=400,https://www.foodpanda.com.bd/restaurant/u6ys/best-fried-chicken-bfc-banani
Best Fried Chicken (BFC) - Banani,Best Fried Chicken (BFC),Exclusive Deals,Crispy Chicken Strips - 6 pcs,300,6 pcs - A crispy & flavorful delight enjoyed by all age group,False,"House # 25, Block # H, Road # 11, Banani",Dhaka,23.7902239,90.4079926,4.9,18122,"Burgers, Fast Food, Meat, Chicken, Western, Fried Chicken",50,10:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/u6ys-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/8816362.jpg?width=400,https://www.foodpanda.com.bd/restaurant/u6ys/best-fried-chicken-bfc-banani
Best Fried Chicken (BFC) - Banani,Best Fried Chicken (BFC),Exclusive Deals,Chicken Mini Strips - 20 pcs,310,20 pcs - Crispy strips served with garlic sauce,False,"House # 25, Block # H, Road # 11, Banani",Dhaka,23.7902239,90.4079926,4.9,18122,"Burgers, Fast Food, Meat, Chicken, Western, Fried Chicken",50,10:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/u6ys-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/8816363.jpg?width=400,https://www.foodpanda.com.bd/restaurant/u6ys/best-fried-chicken-bfc-banani
Best Fried Chicken (BFC) - Banani,Best Fried Chicken (BFC),Exclusive Deals,BBQ Boneless Chicken - 20 pcs,300,"20 pcs - Crispy & golden on the outside, juicy & tender on the inside",False,"House # 25, Block # H, Road # 11, Banani",Dhaka,23.7902239,90.4079926,4.9,18122,"Burgers, Fast Food, Meat, Chicken, Western, Fried Chicken",50,10:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/u6ys-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/8816364.jpg?width=400,https://www.foodpanda.com.bd/restaurant/u6ys/best-fried-chicken-bfc-banani
Best Fried Chicken (BFC) - Banani,Best Fried Chicken (BFC),Exclusive Deals,BBQ Hot Wings - 24 pcs,780,24 pcs - Spicy & bbq flavoured wings,False,"House # 25, Block # H, Road # 11, Banani",Dhaka,23.7902239,90.4079926,4.9,18122,"Burgers, Fast Food, Meat, Chicken, Western, Fried Chicken",50,10:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/u6ys-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/8816365.jpg?width=400,https://www.foodpanda.com.bd/restaurant/u6ys/best-fried-chicken-bfc-banani
Best Fried Chicken (BFC) - Banani,Best Fried Chicken (BFC),Chicken,Regular Crispy Fried Chicken,260,A tempting snacks item for chicken lovers,False,"House # 25, Block # H, Road # 11, Banani",Dhaka,23.7902239,90.4079926,4.9,18122,"Burgers, Fast Food, Meat, Chicken, Western, Fried Chicken",50,10:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/u6ys-hero.jpg,https://images.deliveryhero.io/image/fd-bd/products/4257239.gif?width=400,https://www.foodpanda.com.bd/restaurant/u6ys/best-fried-chicken-bfc-banani
Best Fried Chicken (BFC) - Banani,Best Fried Chicken (BFC),Chicken,Spicy Crispy Fried Chicken,260,A tempting snacks item for chicken lovers,False,"House # 25, Block # H, Road # 11, Banani",Dhaka,23.7902239,90.4079926,4.9,18122,"Burgers, Fast Food, Meat, Chicken, Western, Fried Chicken",50,10:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/u6ys-hero.jpg,https://images.deliveryhero.io/image/fd-bd/products/4424360.jpg?width=400,https://www.foodpanda.com.bd/restaurant/u6ys/best-fried-chicken-bfc-banani
Best Fried Chicken (BFC) - Banani,Best Fried Chicken (BFC),Chicken,Naga Fried Chicken,270,Fiery & flavorful fried chicken with a blend of naga spices,False,"House # 25, Block # H, Road # 11, Banani",Dhaka,23.7902239,90.4079926,4.9,18122,"Burgers, Fast Food, Meat, Chicken, Western, Fried Chicken",50,10:00,23:59,https://images.deliveryhero.io/image/fd-bd/LH/u6ys-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/7730569.jpg?width=400,https://www.foodpanda.com.bd/restaurant/u6ys/best-fried-chicken-bfc-banani
